품사,표기,요미가나,한국어 뜻
명사,人,ひと,사람
명사,学生,がくせい,학생
명사,学校,がっこう,학교
명사,先生,せんせい,선생님
명사,家,いえ,집
명사,本,ほん,책
명사,車,くるま,자동차
명사,電話,でんわ,전화
명사,友達,ともだち,친구
명사,食べ物,たべもの,음식
명사,飲み物,のみもの,음료
명사,魚,さかな,물고기
명사,肉,にく,고기
명사,野菜,やさい,채소
명사,果物,くだもの,과일
명사,店,みせ,가게
명사,駅,えき,역
명사,電車,でんしゃ,전철
명사,バス,バス,버스
명사,空港,くうこう,공항
명사,天気,てんき,날씨
명사,風,かぜ,바람
명사,雨,あめ,비
명사,雪,ゆき,눈
명사,海,うみ,바다
명사,山,やま,산
명사,川,かわ,강
명사,道,みち,길
명사,時間,じかん,시간
명사,日,ひ,날
명사,週,しゅう,주
명사,月,つき,달
명사,年,とし,해
명사,朝,あさ,아침
명사,昼,ひる,낮
명사,夕方,ゆうがた,저녁
명사,夜,よる,밤
명사,今,いま,지금
명사,昨日,きのう,어제
명사,今日,きょう,오늘
명사,明日,あした,내일
명사,来週,らいしゅう,다음 주
명사,先週,せんしゅう,지난주
명사,病院,びょういん,병원
명사,薬,くすり,약
명사,頭,あたま,머리
명사,手,て,손
명사,足,あし,발
명사,目,め,눈
명사,口,くち,입
형용사,大きい,おおきい,크다
형용사,小さい,ちいさい,작다
형용사,新しい,あたらしい,새롭다
형용사,古い,ふるい,오래되다
형용사,明るい,あかるい,밝다
형용사,暗い,くらい,어둡다
형용사,早い,はやい,빠르다
형용사,遅い,おそい,늦다
형용사,良い,いい,좋다
형용사,悪い,わるい,나쁘다
형용사,高い,たかい,"비싸다, 높다"
형용사,安い,やすい,싸다
형용사,暑い,あつい,덥다
형용사,寒い,さむい,춥다
형용사,熱い,あつい,뜨겁다
형용사,冷たい,つめたい,차갑다
형용사,忙しい,いそがしい,바쁘다
형용사,暇な,ひまな,한가하다
형용사,重い,おもい,무겁다
형용사,軽い,かるい,가볍다
형용사,面白い,おもしろい,재미있다
형용사,つまらない,つまらない,재미없다
형용사,難しい,むずかしい,어렵다
형용사,簡単だ,かんたんだ,쉽다
형용사,美しい,うつくしい,아름답다
형용사,醜い,みにくい,못생기다
형용사,近い,ちかい,가깝다
형용사,遠い,とおい,멀다
형용사,強い,つよい,강하다
형용사,弱い,よわい,약하다
형용사,甘い,あまい,달다
형용사,辛い,からい,맵다
형용사,苦い,にがい,쓰다
형용사,塩辛い,しおからい,짜다
형용사,うるさい,うるさい,시끄럽다
형용사,上手だ,じょうず,잘하다
형용사,長い,ながい,길다
형용사,短い,みじかい,짧다
형용사,太い,ふとい,굵다
형용사,細い,ほそい,가늘다
형용사,速い,はやい,빠르다
형용사,遅い,おそい,느리다
형용사,賑やかだ,にぎやかだ,번화하다
형용사,静かだ,しずかだ,조용하다
형용사,怖い,こわい,무섭다
형용사,嬉しい,うれしい,기쁘다
형용사,悲しい,かなしい,슬프다
형용사,楽しい,たのしい,즐겁다
형용사,嫌いだ,きらいだ,싫다
형용사,好きだ,すきだ,좋다
동사,食べる,たべる,먹다
동사,飲む,のむ,마시다
동사,見る,みる,보다
동사,聞く,きく,듣다
동사,話す,はなす,말하다
동사,読む,よむ,읽다
동사,書く,かく,쓰다
동사,行く,いく,가다
동사,来る,くる,오다
동사,帰る,かえる,돌아가다
동사,する,する,하다
동사,買う,かう,사다
동사,売る,うる,팔다
동사,作る,つくる,만들다
동사,会う,あう,만나다
동사,休む,やすむ,쉬다
동사,遊ぶ,あそぶ,놀다
동사,働く,はたらく,일하다
동사,起きる,おきる,일어나다
동사,寝る,ねる,자다
동사,歩く,あるく,걷다
동사,走る,はしる,뛰다
동사,泳ぐ,およぐ,수영하다
동사,入る,はいる,들어가다
동사,出る,でる,나가다
동사,開ける,あける,열다
동사,閉める,しめる,닫다
동사,笑う,わらう,웃다
동사,泣く,なく,울다
동사,忘れる,わすれる,잊다
동사,覚える,おぼえる,기억하다
동사,知る,しる,알다
동사,思う,おもう,생각하다
동사,分かる,わかる,이해하다
동사,教える,おしえる,가르치다
동사,習う,ならう,배우다
동사,起こる,おこる,일어나다 (사건이)
동사,死ぬ,しぬ,죽다
동사,生まれる,うまれる,태어나다
동사,結婚する,けっこんする,결혼하다
동사,旅行する,りょこうする,여행하다
동사,貸す,かす,빌려주다
동사,借りる,かりる,빌리다
동사,着る,きる,입다
동사,脱ぐ,ぬぐ,벗다
동사,乗る,のる,타다
동사,降りる,おりる,내리다
동사,使う,つかう,사용하다
동사,直す,なおす,고치다
동사,送る,おくる,보내다
