분류,표기,요미가나,한국어 뜻
중급,相互,そうご,"상호, 서로"
중급,規模,きぼ,규모
중급,辛い,からい,맵다
중급,触れる,ふれる,"닿다, 언급하다"
중급,景色,けしき,경치
중급,尊重する,そんちょうする,존중하다
중급,備える,そなえる,대비하다
중급,治療,ちりょう,치료
중급,防災,ぼうさい,방재
중급,隣,となり,"옆, 이웃"
중급,敗れる,やぶれる,패배하다
중급,地元,じもと,"고장, 현지"
중급,要求,ようきゅう,요구
중급,密接な,みっせつな,밀접한
중급,祝う,いわう,축하하다
중급,豊富な,ほうふな,풍부한
중급,調節,ちょうせつ,조절
중급,補う,おぎなう,"보완하다, 보충하다"
중급,至急,しきゅう,"지급, 매우 급함"
중급,率直な,そっちょくな,솔직한
중급,装置,そうち,장치
중급,抽象的な,ちゅうしょうてきな,추상적인
중급,占める,しめる,"차지하다, 점유하다"
중급,返却,へんきゃく,반납
중급,削除,さくじょ,삭제
중급,針,はり,바늘
중급,焦点,しょうてん,초점
중급,撮影,さつえい,촬영
중급,略する,りゃくする,"생략하다, 줄이다"
중급,破片,はへん,파편
중급,世の中,よのなか,세상
중급,清潔な,せいけつな,청결한
중급,勧誘,かんゆう,권유
중급,隠す,かくす,숨기다
중급,改めて,あらためて,다시
중급,姿勢,しせい,자세
중급,拡充,かくじゅう,확충
중급,積む,つむ,쌓다
중급,模範,もはん,모범
중급,逃亡,とうぼう,도망
중급,大幅に,おおはばに,대폭적으로
중급,極端な,きょくたんな,극단적인
중급,悔しい,くやしい,억울하다
중급,戻す,もどす,되돌리다
중급,幼稚な,ようちな,유치한
중급,継続,けいぞく,계속
중급,圧勝,あっしょう,압승
중급,除く,のぞく,"제외하다, 제거하다"
중급,傷む,いたむ,"상하다, 손상되다"
중급,貿易,ぼうえき,무역
중급,省略,しょうりゃく,생략
중급,拒否,きょひ,거부
중급,含める,ふくめる,포함시키다
중급,囲む,かこむ,"둘러싸다, 에워싸다"
중급,油断,ゆだん,방심
중급,損害,そんがい,손해
중급,行事,ぎょうじ,행사
중급,現象,げんしょう,현상
중급,詳しい,くわしい,"자세하다, 상세하다"
중급,憎い,にくい,밉다
중급,貴重な,きちょうな,귀중한
중급,競う,きそう,"겨루다, 경쟁하다"
중급,怪しい,あやしい,수상하다
중급,批評,ひひょう,비평
중급,容姿,ようし,"용모, 외모"
중급,納める,おさめる,"납입하다, 납부하다"
중급,伴う,ともなう,"따르다, 동반하다"
중급,劣る,おとる,"뒤떨어지다, 열등하다"
중급,願望,がんぼう,"소망, 바람"
중급,幼い,おさない,어리다
중급,握る,にぎる,쥐다
중급,密閉,みっぺい,밀폐
중급,絞る,しぼる,"짜다, 범위를 좁히다"
중급,垂直,すいちょく,수직
중급,乱れる,みだれる,"흐트러지다, 어지러워지다"
중급,柔軟な,じゅうなんな,유연한
중급,強火,つよび,센 불
중급,抱える,かかえる,"안다, 껴안다"
중급,求人,きゅうじん,구인
중급,怖い,こわい,무섭다
중급,冷蔵庫,れいぞうこ,냉장고
중급,総額,そうがく,총액
중급,湿る,しめる,"습기 차다, 축축하다"
중급,抽選,ちゅうせん,추첨
중급,離れる,はなれる,"떨어지다, 거리가 멀어지다"
중급,企画,きかく,기획
중급,再度,さいど,"두 번, 재차"
중급,和やかな,なごやかな,"부드럽다, 온화하다"
중급,処理,しょり,처리
중급,憎む,にくむ,미워하다
중급,偶然,ぐうぜん,우연히
중급,刺激,しげき,자극
중급,恥,はじ,"부끄러움, 창피"
중급,圧倒的,あっとうてき,압도적
중급,等しい,ひとしい,"같다, 다름없다"
중급,軽傷,けいしょう,"경상, 가벼운 부상"
중급,負担,ふたん,부담
중급,映る,うつる,"비치다, 영상으로 나타나다"
중급,下旬,げじゅん,하순
중급,倒す,たおす,쓰러뜨리다
중급,険しい,けわしい,험하다
중급,比較的,ひかくてき,비교적
중급,下降,かこう,하강
중급,著しい,いちじるしい,"현저하다, 두드러지다"
중급,声援,せいえん,성원
중급,傾く,かたむく,기울다
중급,情景,じょうけい,정경
중급,乏しい,とぼしい,부족하다
중급,介護,かいご,"개호, 간병"
중급,焦る,あせる,"초조해하다, 안달하다"
중급,賛否,さんび,"찬부, 찬반"
중급,記憶,きおく,기억
중급,偉い,えらい,훌륭하다
중급,途端に,とたんに,갑자기
중급,務める,つとめる,"(임무를) 맡다, 노력하다"
중급,素材,そざい,소재
중급,警備,けいび,경비
중급,外れる,はずれる,"빠지다, 빗나가다"
중급,世間,せけん,"세간, 세상"
중급,勇ましい,いさましい,"용감하다, 활발하다"
중급,運賃,うんちん,운임
중급,握手,あくしゅ,악수
중급,腕,うで,팔
중급,善良な,ぜんりょうな,선량한
중급,平等,びょうどう,평등
중급,詳細,しょうさい,상세
중급,分析,ぶんせき,분석
중급,絡まる,からまる,얽히다
중급,農薬,のうやく,농약
중급,鮮やかな,あざやかな,선명한
중급,優秀な,ゆうしゅうな,우수한
중급,迷う,まよう,"헤매다, 망설이다"
중급,背骨,せぼね,"등뼈, 척추"
중급,実践,じっせん,실천
중급,衣装,いしょう,의상
중급,礼儀,れいぎ,예의
중급,開催,かいさい,개최
중급,出世,しゅっせ,출세
중급,頼り,たより,"연고, 의지가 되는 것"
중급,伝統,でんとう,전통
중급,乱れる,みだれる,흐트러지다
중급,焦る,あせる,"안달하다, 초조해하다"
중급,暮らす,くらす,살다
중급,象徴,しょうちょう,상징
중급,与える,あたえる,주다
중급,激しい,はげしい,심하다
중급,管理,かんり,관리
중급,登録,とうろく,등록
중급,福祉,ふくし,복지
중급,誘う,さそう,"권유하다, 유도하다"
중급,討論,とうろん,토론
중급,変更,へんこう,변경
중급,属する,ぞくする,속하다
중급,導く,みちびく,"이끌다, 지도하다"
중급,訪れる,おとずれる,방문하다
중급,扱う,あつかう,"다루다, 취급하다"
중급,収穫,しゅうかく,수확
중급,積極的な,せっきょくてきな,적극적인
중급,勢い,いきおい,기세
중급,抵抗,ていこう,저항
중급,組織,そしき,조직
중급,肩,かた,어깨
중급,至るところ,いたるところ,"도처, 모든 장소"
중급,削る,けずる,"깎다, 삭감하다"
중급,真剣な,しんけんな,진지한
중급,講義,こうぎ,강의
중급,努める,つとめる,노력하다
중급,寄付,きふ,기부
중급,果たす,はたす,완수하다
중급,即座に,そくざに,"즉석에서, 그 자리에서"
중급,招待,しょうたい,초대
중급,責める,せめる,"책망하다, 나무라다"
중급,湿っぽい,しめっぽい,"눅눅하다, 습기 차다"
중급,接続,せつぞく,접속
중급,援助,えんじょ,원조
중급,逆らう,さからう,"거스르다, 거역하다"
중급,破れる,やぶれる,"찢어지다, 파손되다"
중급,批判,ひはん,비판
중급,面倒な,めんどうな,"귀찮은, 성가신"
중급,劣る,おとる,"열등하다, 뒤떨어지다"
중급,拾う,ひろう,줍다
중급,距離,きょり,거리
중급,混乱,こんらん,혼란
중급,驚く,おどろく,놀라다
중급,順調な,じゅんちょうな,순조로운
중급,講師,こうし,강사
중급,争う,あらそう,다투다
중급,腹,はら,배(신체의 일부)
중급,指摘,してき,지적
중급,恵まれる,めぐまれる,"혜택 받다, 풍부하다"
중급,簡潔な,かんけつな,간결한
중급,招く,まねく,"부르다, 초대하다"
중급,参照,さんしょう,참조
중급,保証,ほしょう,보증
중급,焦げる,こげる,"눋다, 타다"
중급,催し,もよおし,"행사, 모임"
중급,症状,しょうじょう,증상
중급,硬貨,こうか,"동전, 주화"
중급,快く,こころよく,흔쾌히
중급,製造,せいぞう,제조
중급,凍る,こおる,얼다
중급,救う,すくう,구조하다
중급,好調な,こうちょうな,"호조인, 순조로운"
중급,永久,えいきゅう,영구(영원)
중급,在籍,ざいせき,재적
중급,従う,したがう,"따르다, 복종하다"
중급,領収書,りょうしゅうしょ,영수증
중급,荒い,あらい,거칠다
중급,豊かな,ゆたかな,"풍부한, 부유한"
중급,養う,やしなう,"기르다, 부양하다"
중급,省く,はぶく,생략하다
중급,迎える,むかえる,맞이하다
중급,系統,けいとう,계통
중급,束ねる,たばねる,묶다
중급,精算,せいさん,정산
중급,趣味,しゅみ,취미
중급,濃い,こい,"짙다, 진하다"
중급,混じる,まじる,섞이다
중급,損,そん,손해
중급,演技,えんぎ,연기
중급,違反,いはん,위반
중급,陽気な,ようきな,"밝고 쾌활한, 명랑한"
중급,見逃す,みのがす,놓치다
중급,拡張,かくちょう,확장
중급,帰省,きせい,귀성
중급,縮める,ちぢめる,줄이다
중급,異色,いしょく,이색
중급,返品,へいぴん,반품
중급,乱暴,らんぼう,난폭
중급,弱点,じゃくてん,약점
중급,任せる,まかせる,맡기다
중급,順調,じゅんちょう,순조로움
중급,積もる,つもる,쌓이다
중급,登る,のぼる,오르다
중급,住居,じゅうきょ,주거
중급,典型的な,てんけいてきな,전형적인
중급,欲,よく,욕심
중급,俳優,はいゆう,배우
중급,診断,しんだん,진단
중급,布,ぬの,천 (직물)
중급,捨てる,すてる,버리다
중급,機嫌,きげん,기분
중급,損失,そんしつ,손실
중급,研修,けんしゅう,연수
중급,耐える,たえる,견디다
중급,投票,とうひょう,투표
중급,抱える,かかえる,"감싸 쥐다, 안다"
중급,志望,しぼう,지망
중급,短編,たんぺん,단편
중급,散る,ちる,"떨어지다, 흩어지다"
중급,柔らかい,やわらかい,부드럽다
중급,疲労,ひろう,피로
중급,避難,ひなん,피난
중급,敬う,うやまう,존경하다
중급,受講,じゅこう,수강
중급,厚かましい,あつかましい,뻔뻔하다
중급,諸問題,しょもんだい,여러 문제
중급,２対１,にたいいち,2 대 1
중급,商店街,しょうてんがい,"상점가, 상가"
중급,再放送,さいほうそう,재방송
중급,高収入,こうしゅうにゅう,고수입
중급,予約制,よやくせい,예약제
중급,副社長,ふくしゃちょう,부사장
중급,就職率,しゅうしょくりつ,취직률
중급,集中力,しゅうちゅうりょく,집중력
중급,旧制度,きゅうせいど,구제도
중급,医学界,いがくかい,의학계
중급,文学賞,ぶんがくしょう,문학상
중급,準優勝,じゅんゆうしょう,준우승
중급,悪条件,あくじょうけん,악조건
중급,現段階,げんだんかい,현 단계
중급,クリーム状,クリームじょう,크림 상태
중급,非公式,ひこうしき,비공식
중급,一日おき,いちにちおき,하루 걸러
중급,総売上,そううりあげ,총매출
중급,来シーズン,らいシーズン,다음 시즌
중급,ビジネスマン風,ビジネスマンふう,비즈니스맨풍
중급,真夜中,まよなか,한밤중
중급,仮採用,かりさいよう,임시 채용
중급,投票率,とうひょうりつ,투표율
중급,国際色,こくさいしょく,국제색
중급,アルファベット順,アルファベットじゅん,알파벳순
중급,諸外国,しょがいこく,"제 외국, 외국 여러 나라"
중급,半透明,はんとうめい,반투명
중급,低価格,ていかかく,저가격
중급,日本流,にほんりゅう,"일본류, 일본식"
중급,準決勝,じゅんけっしょう,준결승
중급,再提出,さいていしゅつ,"재제출, 다시 제출함"
중급,親子連れ,おやこづれ,부모 자식 동반
중급,東京駅発,とうきょうえきはつ,도쿄 역 출발
중급,薄暗い,うすぐらい,"어둑어둑하다, 침침하다"
중급,音楽全般,おんがくぜんぱん,음악 전반
중급,風邪気味,かぜぎみ,감기 기운
중급,最有力,さいゆうりょく,"최유력, 가장 유력"
중급,食器類,しょっきるい,식기류
중급,夏休み明け,なつやすみあけ,여름 방학 끝 무렵
중급,作品集,さくひんしゅう,작품집
중급,危険性,きけんせい,위험성
중급,線路沿い,せんろぞい,선로가
중급,未経験,みけいけん,미경험
중급,期限切れ,きげんぎれ,기한 종료
중급,電車賃,でんしゃちん,전철 요금
중급,高性能,こうせいのう,고성능
중급,祭りムード一色,まつりムードいっしょく,축제 분위기 일색
중급,応援団,おうえんだん,응원단
중급,無責任,むせきにん,무책임
중급,悪影響,あくえいきょう,악영향
중급,子供連れ,こどもづれ,자녀 동반
중급,成功率,せいこうりつ,성공률
중급,招待状,しょうたいじょう,초대장
중급,現実離れ,げんじつばなれ,현실을 벗어남
중급,真新しい,まあたらしい,완전히 새롭다
중급,ヨーロッパ風,ヨーロッパふう,유럽풍
중급,異文化,いぶんか,이문화
중급,結婚観,けっこんかん,결혼관
중급,年代順,ねんだいじゅん,연대순
중급,高水準,こうすいじゅん,고수준
중급,管理下,かんりか,관리하
중급,日本式,にほんしき,일본식
중급,再開発,さいかいはつ,재개발
중급,未使用,みしよう,미사용
중급,主成分,しゅせいぶん,주성분
중급,勉強づけ,べんきょうづけ,공부 몰입
중급,初年度,しょねんど,초년도
중급,前社長,ぜんしゃちょう,전 사장
중급,会員制,かいいんせい,회원제
중급,家族連れ,かぞくづれ,가족 동반
중급,真後ろ,まうしろ,바로 뒤
중급,住宅街,じゅうたくがい,주택가
중급,不正確,ふせいかく,부정확
중급,低カロリー,ていカロリー,저칼로리
중급,会社員風,かいしゃいんふう,회사원풍
중급,スキー場,スキーじょう,스키장
중급,来学期,らいがっき,다음 학기
중급,進学率,しんがくりつ,진학률
중급,副大臣,ふくだいじん,부대신(차관)
중급,学年別,がくねんべつ,학년별
중급,無計画,むけいかく,무계획
중급,送信元,そうしんもと,송신원
중급,働き手,はたらきて,일 손
중급,メリカ流,メリカりゅう,"아메리카류, 미국식"
중급,別れ際,わかれぎわ,헤어질 때
중급,前町長,ぜんちょうちょう,전 읍장
중급,頼みづらい,たのみづらい,부탁하기 어렵다
중급,政治色,せいじしょく,정치색
중급,再提出,さいていしゅつ,재제출
중급,都会育ち,とかいそだち,도시에서 자람
중급,一仕事,ひとしごと,한 가지 일
중급,ボール状,ボールじょう,"볼형, 동그란 모양"
중급,別会場,べつかいじょう,다른 회장
중급,現社長,げんしゃちょう,현재 사장
중급,同意見,どういけん,같은 의견
중급,食べ頃,たべごろ,"먹기에 적당한 때, 제철"
중급,仮登録,かりとうろく,"가등록, 임시 등록"
중급,異分野,いぶんや,다른 분야
중급,写真付き,しゃしんつき,사진 첨부
중급,現制度,げんせいど,현재 제도
중급,用心深い,ようじんぶかい,조심성이 많다
중급,貴財団,きざいだん,귀재단
중급,無回答,むかいとう,"무회답, 무응답"
중급,日本風,にほんふう,일본풍
중급,壁際,かべぎわ,"벽가, 벽 옆"
중급,対抗心,たいこうしん,대항심
중급,諸手続き,しょてつづき,여러 수속
중급,二人連れ,ふたりづれ,두사람 일행
중급,主原料,しゅげんりょう,주원료
중급,読書離れ,どくしょばなれ,독서 기피
중급,決定権,けっていけん,결정권
중급,名選手,めいせんしゅ,명선수
중급,最接近,さいせっきん,최접근
중급,私宛て,わたしあて,내 앞
중급,のんびり,のんびり,한가로이
중급,徐々に,じょじょに,서서히
중급,マイペース,マイペース,마이 페이스
중급,上昇,じょうしょう,상승
중급,評判,ひょうばん,평판
중급,シーズン,シーズン,시즌
중급,尽きる,つきる,"다하다, 소진되다"
중급,温厚な,おんこうな,"온후한, 다정다감한"
중급,発揮,はっき,발휘
중급,相次ぐ,あいつぐ,"잇따르다, 이어지다"
중급,あいまいな,あいまいな,애매한
중급,通じる,つうじる,통하다
중급,有効,ゆうこう,유효
중급,含む,ふくむ,포함하다
중급,解消,かいしょう,해소
중급,ぶらぶら,ぶらぶら,어슬렁어슬렁
중급,改善,かいぜん,개선
중급,活気,かっき,활기
중급,迫る,せまる,"다가오다, 임박하다"
중급,詰まる,つまる,"가득 차다, 막히다"
중급,割と,わりと,비교적
중급,反映,はんえい,반영
중급,視野,しや,시야
중급,ぼんやり,ぼんやり,"희미하게, 멍하게"
중급,さっぱり,さっぱり,전혀
중급,強み,つよみ,강점
중급,機能,きのう,기능
중급,散らかる,ちらかる,"흩어지다, 어질러지다"
중급,偏る/片寄る,かたよる,"치우치다, 편중되다"
중급,辞退,じたい,사퇴
중급,着々と,ちゃくちゃくと,"착착, 순조롭게"
중급,得る,える,얻다
