id,day,word,meaning
1,1,hold,"v. 잡다, 보유하다"
2,1,arrange,"v. 정리하다, 배열하다"
3,1,pass,"v. 지나가다, 건네다"
4,1,reach,"v. 뻗다, 내밀다"
5,1,adjust,"v. 조정하다"
6,1,point,"v. 가리키다"
7,1,load,"v. 싣다, 넣다"
8,1,occupy,"v. 차지하다"
9,1,bend,"v. 구부리다"
10,1,lean,"v. 기대다"
11,1,prop,"v. 받치다, 떠받치다"
12,1,scatter,"v. 흩뿌리다"
13,1,pack (up),"v. 싸다, 포장하다"
14,1,overlook,"v. 내려다보다"
15,1,carry,"v. 들다, 나르다, 운반하다"
16,1,fill,"v. 채우다"
17,1,inspect,"v. 자세히 살펴보다"
18,1,trim,"v. 다듬다, 손질하다"
19,1,(re)pave,"v. 도로를 (재)포장하다"
20,1,assemble,"v. 조립하다, 모이다"
21,1,float,"v. (물에) 뜨다"
22,1,mow,"v. (잔디를) 깎다"
23,1,perform,"v. 공연하다, 연주하다"
24,1,transport,"v. 운반하다, 수송하다"
25,1,pour,"v. (액체 등을) 붓다, 따르다"
26,1,shade,"v. 그늘지게 하다, n. 그늘"
27,1,surround,"v. 둘러싸다"
28,1,tow,"v. 견인하다"
29,1,greet,"v. 인사하다, 맞이하다"
30,1,rake,"v. (낙엽 등을) 갈퀴로 긁어모으다"
31,1,place,"v. 놓다"
32,1,face,"v. 직면하다, 향하다"
33,1,line,"v. ~을 따라 늘어서다"
34,1,plug in,"phr. 플러그를 꽂다"
35,1,cross,"v. 건너다, 가로지르다"
36,1,hang,"v. 걸다, 걸리다"
37,1,distribute,"v. 나누어 주다, 배포하다"
38,1,fold,"v. 접다, 개다"
39,1,reflect,"v. (거울·물 등에) 비추다"
40,1,address,"v. 연설하다, 다루다"
41,1,plant,"v. 심다, n. 식물"
42,1,file,"v. (문서 등을) 철하다"
43,1,operate,"v. 작동하다, 운영하다"
44,1,stack,"v. 쌓다, n. 더미"
45,1,clap,"v. 박수 치다"
46,1,kneel,"v. 무릎을 꿇다"
47,1,stroll,"v. 거닐다, 산책하다"
48,1,aisle,"n. 통로"
49,1,lid,"n. 뚜껑"
50,1,pillow,"n. 베개, 쿠션"
51,1,wear,"v. 입다 (착용 상태)"
52,1,put on,"phr. 입다 (착용 동작)"
53,1,turn on,"phr. 전원을 켜다"
54,1,vacuum,"v. 진공청소기로 청소하다"
55,1,briefcase,"n. 서류가방"
56,1,microphone,"n. 마이크"
57,1,be seated,"phr. 앉다"
58,1,bow,"v. (머리를) 숙여 인사하다"
59,1,laundry,"n. 세탁물"
60,1,jewelry,"n. 보석, 장신구"
61,1,shake hands,"phr. 악수하다"
62,1,chop,"v. 썰다, 다지다"
63,1,plate,"n. 접시"
64,1,weigh,"v. 무게를 재다"
65,1,shelving unit,"n. 선반"
66,1,artwork,"n. 예술 작품"
67,1,mop,"v. 대걸레로 닦다"
68,1,sculpture,"n. 조각상"
69,1,necklace,"n. 목걸이"
70,1,baked goods,"n. 제빵류"
71,1,button,"v. 단추를 채우다"
72,1,grill,"n. 그릴"
73,1,scrub,"v. 문질러 씻다"
74,1,square,"a. 정사각형의"
75,1,illuminate,"v. 비추다, 밝히다"
76,1,wait on,"phr. 시중들다"
77,1,conveyor belt,"n. 컨베이어 벨트"
78,1,light bulb,"n. 전구"
79,1,garment,"n. 의복, 옷"
80,1,apron,"n. 앞치마"
81,1,carton,"n. 상자"
82,1,tap water,"n. 수돗물"
83,1,stool,"n. 등받이 없는 의자"
84,1,couch,"n. 소파"
85,1,auditorium,"n. 강당"
86,1,overhead,"a. 머리 위의"
87,1,easel,"n. 이젤, 칠판대"
88,1,utensil,"n. 조리 기구"
89,1,kettle,"n. 주전자"
90,1,corridor,"n. 복도"
91,1,fireplace,"n. 벽난로"
92,1,cash register,"n. 금전등록기"
93,1,jot down,"phr. 적다, 메모하다"
94,1,squeeze,"v. 쥐어짜다"
95,1,scale,"n. 저울"
96,1,identical,"a. 동일한, 똑같은"
97,1,fluorescent light,"n. 형광등"
98,1,workbench,"n. 작업대"
99,1,unzip,"v. 지퍼를 열다"
100,1,screw,"n. 나사"
101,1,rinse,"v. 씻어내다, 헹구다"
102,2,pile,"v. 쌓다, n. 더미"
103,2,store,"v. 보관하다"
104,2,pick up,"phr. 집어 들다, 따다"
105,2,serve,"v. 제공하다, 응대하다"
106,2,board,"v. 탑승하다, n. 판자"
107,2,frame,"v. 틀에 넣다, n. 액자"
108,2,rest,"v. 놓다, 휴식을 취하다"
109,2,roll,"v. 둘둘 말다, 굴리다"
110,2,empty,"v. 비우다, a. 비어 있는"
111,2,clear,"v. 치우다"
112,2,display,"v. 전시하다, n. 진열"
113,2,extend,"v. 뻗다, 펼치다"
114,2,stir,"v. 젓다, 섞다"
115,2,sip,"v. 홀짝이다, 조금씩 마시다"
116,2,work on,"phr. ~을 작업하다"
117,2,sweep,"v. (빗자루로) 쓸다"
118,2,browse,"v. 둘러보다, 훑어보다"
119,2,lie,"v. 놓여 있다, 눕다"
120,2,wrap,"v. 포장하다, 싸다"
121,2,step,"v. 서다, 디디다"
122,2,wave,"v. 손을 흔들다, n. 파도"
123,2,border,"v. 경계를 이루다"
124,2,set up,"phr. 설치하다, 놓다"
125,2,spread,"v. 펼치다, 퍼뜨리다"
126,2,wipe,"v. 닦다"
127,2,dine,"v. 식사하다"
128,2,stock,"v. 채우다, 재고를 갖추다"
129,2,fasten,"v. 매다, 고정시키다"
130,2,exchange,"v. 교환하다, n. 교환"
131,2,lift,"v. 들어 올리다"
132,2,polish,"v. (윤이 나도록) 닦다"
133,2,run,"v. (길 등이) 이어지다, 달리다"
134,2,sort,"v. 분류하다, n. 종류"
135,2,sew,"v. 바느질하다"
136,2,put away,"phr. 치우다"
137,2,enter,"v. 들어가다, 입력하다"
138,2,stare,"v. 쳐다보다, 응시하다"
139,2,pull,"v. 끌다, 당기다"
140,2,climb,"v. 오르다, 올라가다"
141,2,row,"v. 노를 젓다, n. 열, 줄"
142,2,exit,"v. 나가다, n. 출구"
143,2,mount,"v. 장착하다, 설치하다"
144,2,dock,"v. 부두에 대다, n. 부두"
145,2,put up,"phr. 세우다, 게시하다"
146,2,cast,"v. (그림자를) 드리우다"
147,2,post,"v. 게시하다, n. 기둥"
148,2,take off,"phr. 벗다, 이륙하다"
149,2,roof,"n. 지붕"
150,2,balcony,"n. 발코니"
151,2,railroad,"n. 철로"
152,2,water,"v. (화초 등에) 물을 주다"
153,2,wheel,"n. 바퀴"
154,2,spray,"v. 뿌리다"
155,2,bin,"n. 통, 쓰레기통"
156,2,rope,"n. 밧줄"
157,2,dig,"v. 땅을 파다"
158,2,work out(=exercise),"phr. 운동하다"
159,2,throw away,"phr. 버리다"
160,2,sail,"v. 항해하다"
161,2,pedestrian,"n. 보행자"
162,2,motorcycle(=motorbike),"n. 오토바이"
163,2,hard hat,"n. 안전모"
164,2,traffic light,"n. 신호등"
165,2,cyclist,"n. 자전거를 타는 사람"
166,2,hike,"v. 하이킹하다"
167,2,platform,"n. 승강장, 단"
168,2,pathway,"n. 길, 오솔길"
169,2,hammer,"n. 망치"
170,2,twist,"v. 휘다, 비틀다"
171,2,entryway,"n. 출입구"
172,2,construction site,"n. 공사 현장"
173,2,lamppost(=streetlamp),"n. 가로등"
174,2,runway,"n. 활주로"
175,2,side by side,"phr. 나란히"
176,2,scaffolding,"n. (건축 공사장의) 비계"
177,2,shovel,"v. 삽질하다, n. 삽"
178,2,ramp,"n. 경사로"
179,2,deck,"n. 갑판, 테라스"
180,2,patio,"n. 테라스"
181,2,pond,"n. 연못"
182,2,traffic cone,"n. 삼각대"
183,2,erect,"v. 세우다, 건립하다"
184,2,oar,"n. 노"
185,2,awning,"n. 차양"
186,2,stall,"n. 가판대"
187,2,vendor,"n. 상인"
188,2,open-air market,"n. 야외 시장"
189,2,spectator,"n. 관중"
190,2,march,"v. 행진하다"
191,2,resurface,"v. (도로를) 재포장하다"
192,2,stadium,"n. 경기장"
193,2,prune,"v. 가지치기 하다"
194,2,debris,"n. 쓰레기, 잔해"
195,2,barn,"n. 헛간"
196,2,hedge,"n. 울타리, 담"
197,2,tear down,"phr. 허물다, 파괴하다"
198,2,hay,"n. 건초"
199,2,litter,"n. 쓰레기"
200,2,beam,"n. 기둥"
201,2,vine,"n. 덩굴 식물"
202,2,flattened box,"n. 납작하게 접은 상자"
203,3,responsible,"a. 담당하는, 책임이 있는"
204,3,available,"a. 이용 가능한, 시간이 되는"
205,3,utility,"n. 공공시설, 공공요금"
206,3,repair,"v. 수리하다, n. 수리"
207,3,offer,"v. 제공하다, 제안하다"
208,3,status,"n. 상태, 상황, 지위"
209,3,record,"n. 기록, v. 기록하다"
210,3,leave,"v. 출발하다, 맡기다"
211,3,session,"n. 세션, 회기, 기간"
212,3,organize,"v. 준비하다, 정리하다"
213,3,revise,"v. 수정하다, 개정하다"
214,3,join,"v. 합류하다, 가입하다"
215,3,borrow,"v. 빌리다"
216,3,charge,"n. 책임, 요금, v. 청구하다"
217,3,interview,"n. 면접, v. 인터뷰하다"
218,3,bottom,"n. 맨 아래"
219,3,prefer,"v. 선호하다, 더 좋아하다"
220,3,approve,"v. 승인하다, 찬성하다"
221,3,document,"n. 문서, 서류"
222,3,order,"v. 주문하다, n. 주문"
223,3,projection,"n. 예상, 추정, 영상"
224,3,contact,"v. 연락하다, n. 연락책"
225,3,bill,"n. 청구서, v. 청구하다"
226,3,colleague,"n. 동료"
227,3,review,"n. 검토, v. 검토하다"
228,3,cost,"v. 비용이 들다, n. 비용"
229,3,make it,"phr. 가다, 참석하다"
230,3,proofread,"v. 교정보다"
231,3,committee,"n. 위원회"
232,3,retire,"v. 퇴직하다, 그만두다"
233,3,flyer,"n. (광고용) 전단"
234,3,deadline,"n. 마감일, 최종 기한"
235,3,ship,"v. 보내다, 발송하다"
236,3,take over,"phr. 인계받다"
237,3,get to,"phr. ~에 도착하다"
238,3,return,"v. 반납하다, 돌아오다"
239,3,draft,"n. 원고, 초안"
240,3,depend on,"phr. ~에 달려 있다"
241,3,delay,"v. 미루다, n. 지연"
242,3,supply,"n. 용품, 비품, v. 공급하다"
243,3,submit,"v. 제출하다"
244,3,negotiation,"n. 협상"
245,3,mind,"v. 꺼리다, n. 마음"
246,3,find out,"phr. 알아내다, 파악하다"
247,3,agreement,"n. 계약(서), 합의"
248,3,formal,"a. 공식적인, 격식을 갖춘"
249,3,banquet,"n. 연회, 만찬"
250,3,presentation,"n. 발표, 프레젠테이션"
251,3,subscription,"n. 구독(료)"
252,3,productive,"a. 생산적인"
253,3,secretary,"n. 비서"
254,3,receptionist,"n. 접수 담당자"
255,3,storeroom,"n. 저장실"
256,3,automatic,"a. 자동의"
257,3,import,"v. 수입하다"
258,3,export,"v. 수출하다"
259,3,cafeteria,"n. 구내식당"
260,3,instructor,"n. 강사"
261,3,trainee,"n. 훈련생"
262,3,name tag,"n. 명찰"
263,3,blueprint,"n. 도면, 설계도"
264,3,internship,"n. 인턴 근무"
265,3,electrician,"n. 전기 기사"
266,3,laboratory(=lab),"n. 실험실"
267,3,crew,"n. 팀, 작업반"
268,3,banner,"n. 현수막"
269,3,attorney,"n. 변호사"
270,3,look into,"phr. 조사하다"
271,3,staff[employee] lounge,"n. 직원 휴게실"
272,3,in alphabetical order,"phr. 알파벳순으로"
273,3,business hours,"n. 영업시간"
274,3,give a hand,"phr. 돕다"
275,3,day off,"n. 휴무, 휴가"
276,3,well attended,"a. 참석률이 좋은"
277,3,sales associate,"n. 영업 사원"
278,3,face-to-face,"a. 대면하는"
279,3,loading dock,"n. 하역장"
280,3,outsource,"v. 외부에 위탁하다"
281,3,webinar,"n. 인터넷상의 세미나"
282,3,itemize,"v. 항목별로 적다"
283,3,company retreat,"n. 회사 야유회"
284,3,credential,"n. 자격증"
285,3,field of expertise,"n. 전문 분야"
286,3,business attire,"n. 비즈니스 정장"
287,3,safety drill,"n. 안전 훈련"
288,3,segment,"n. 부분, 부문"
289,3,troubleshoot,"v. 문제를 해결하다"
290,3,diagram,"n. 도표, 도해"
291,3,symposium,"n. 토론회, 심포지엄"
292,3,color scheme,"n. 배색, 색채 조합"
293,3,quarterly sales,"n. 분기별 판매(량)"
294,3,mechanic,"n. 정비공"
295,3,short-staffed,"a. 직원이 부족한"
296,3,boardroom,"n. 중역 회의실"
297,3,videoconferencing,"n. 화상 회의"
298,3,convention,"n. 총회, 집회"
299,3,authorization,"n. (공식적인) 허가"
300,3,restricted area,"n. 제한 구역"
301,3,quality control,"n. 품질 관리"
302,3,cubicle,"n. 칸막이 사무실"
303,3,treasurer,"n. 회계 담당자"
304,3,packing slip,"n. 운송 전표"
305,3,company letterhead,"n. 회사 이름 인쇄 편지지"
306,4,schedule,"v. 일정을 잡다, n. 일정"
307,4,process,"v. 처리하다, n. 과정"
308,4,reception,"n. 환영회, 접수처"
309,4,consult,"v. 상의하다, 참고하다"
310,4,reimburse,"v. 환급하다, 상환하다"
311,4,challenging,"a. 도전적인, 힘든"
312,4,run out,"phr. 다 쓰다, 떨어지다"
313,4,transfer,"v. 이동하다, 전근시키다"
314,4,invoice,"n. 청구서, 송장"
315,4,celebrate,"v. 축하하다, 기념하다"
316,4,abroad,"ad. 해외에(서)"
317,4,label,"v. 라벨을 붙이다, n. 라벨"
318,4,supervisor,"n. 상사, 감독관"
319,4,manual,"n. 설명서, a. 수동의"
320,4,lead,"v. 이끌다, n. 선두"
321,4,monitor,"n. 화면, v. 감시하다"
322,4,inventory,"n. 재고 조사, 재고(품)"
323,4,identification,"n. 신분증"
324,4,survey,"n. 설문조사, v. 조사하다"
325,4,suggest,"v. 제안하다, 권하다"
326,4,go ahead,"phr. 계속하다, 어서 하다"
327,4,belong to,"phr. ~에 속하다"
328,4,make sure,"phr. 확인하다, 반드시 하다"
329,4,donate,"v. 기부하다"
330,4,lower,"v. 낮추다, a. 아래쪽의"
331,4,branch,"n. 지점"
332,4,manage,"v. 경영하다, 관리하다"
333,4,ask for,"phr. ~을 요청하다"
334,4,deliver,"v. 배달하다, 전달하다"
335,4,recommend,"v. 추천하다, 권하다"
336,4,purchase,"n. 구입, v. 구입하다"
337,4,head,"n. 책임자, v. 향하다"
338,4,know if,"phr. ~인지 알다"
339,4,lend,"v. 빌려주다"
340,4,personnel,"n. 직원들, 인사과"
341,4,accept,"v. 받다, 수락하다"
342,4,improve,"v. 개선되다, 향상시키다"
343,4,downtown,"ad. 시내에, n. 시내"
344,4,require,"v. 필요로 하다, 요구하다"
345,4,renew,"v. 갱신하다"
346,4,directory,"n. 안내 책자, 명부"
347,4,no later than,"phr. 늦어도 ~까지"
348,4,either,"a. (둘 중) 어느 하나의"
349,4,certified,"a. 공인의, 인가된"
350,4,local,"a. 지역의, 현지의"
351,4,deserve,"v. ~을 받을 만하다"
352,4,council,"n. 의회"
353,4,wonder,"v. 궁금해하다"
354,4,be supposed to,"phr. ~하기로 되어 있다"
355,4,lost and found,"n. 유실물 보관소"
356,4,medication,"n. 약, 약물"
357,4,messy,"a. 지저분한, 엉망인"
358,4,advanced,"a. 고급의, 상급의"
359,4,fiction,"n. 소설"
360,4,salon,"n. 상점, 살롱"
361,4,highway,"n. 고속도로"
362,4,cashier,"n. 출납원, 계산원"
363,4,as long as,"phr. ~하는 한"
364,4,upstairs,"ad. 위층에서"
365,4,librarian,"n. 도서관 사서"
366,4,one-way ticket,"n. 편도 승차권"
367,4,round-trip ticket,"n. 왕복 승차권"
368,4,initial,"a. 처음의, 초기의"
369,4,gift certification,"n. 상품권"
370,4,envelope,"n. 봉투"
371,4,city[town] hall,"n. 시청"
372,4,casual,"a. 격식을 차리지 않는"
373,4,national holiday,"n. 국경일"
374,4,stuck in traffic,"phr. 교통 체증에 갇힌"
375,4,stationery,"n. 문구류"
376,4,waterproof,"a. 방수의"
377,4,recyclable,"a. 재활용이 가능한"
378,4,garage,"n. 차고, 주차장"
379,4,dozens of,"phr. 수십 개의"
380,4,complex,"n. 복합 단지"
381,4,instant,"a. 즉각적인"
382,4,screening,"n. 상영, 검사"
383,4,editorial,"a. 편집의"
384,4,drain,"v. 배수하다, n. 배수관"
385,4,dairy product,"n. 유제품"
386,4,halfway through,"phr. ~의 중간에"
387,4,heat-resistant,"a. 내열성의"
388,4,currency exchange,"n. 환전"
389,4,prior engagement,"n. 선약"
390,4,scheduling conflict,"n. 일정 충돌"
391,4,boulevard,"n. 도로, 대로"
392,4,paperback,"n. 종이 표지로 된 책"
393,4,highdefinition-,"a. 고화질의"
394,4,leftover,"n. 남은 음식"
395,4,postage,"n. 우편 요금"
396,4,fade,"v. 희미해지다, 바래다"
397,4,carrier,"n. 항공사, 수송회사"
398,4,hardware store,"n. 철물점"
399,4,choir,"n. 합창단"
400,4,take turns,"phr. 교대로 하다"
401,4,caterer,"n. 음식 조달 업체"
402,4,faucet,"n. 수도꼭지"
